SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
502,0.0009,0.0,0.0,0.0,0.0,0.4921,0.0,0.0
434,0.0224,0.011,0.0002,0.0,0.0,0.1533,0.0,0.0199
561,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
562,0.0028,0.0,0.0,0.0,0.0,0.4425,0.0,0.0
738,0.0,0.0008,0.0008,0.0,0.0,0.5636,0.0,0.0
513,0.0127,0.005,0.001,0.0,0.0,0.2831,0.0,0.0
514,0.0388,0.1332,0.0005,0.0,0.0,0.3592,0.0225,0.0296
512,0.0198,0.0054,0.001,0.0,0.0,0.2245,0.0,0.0
511,0.0382,0.1335,0.0005,0.0,0.0,0.3543,0.0225,0.0296
744,0.0098,0.0022,0.0005,0.0,0.0,0.4059,0.0,0.0
190,0.0143,0.0048,0.0002,0.0,0.0,0.5549,0.0,0.0012
253,0.0224,0.011,0.0002,0.0,0.0,0.1533,0.0,0.0199
516,0.0,0.0004,0.0003,0.0,0.0,0.5741,0.0,0.0
344,0.0002,0.0015,0.0,0.0,0.0,0.4221,0.0,0.0
318,0.0018,0.0006,0.0,0.0,0.0,0.5406,0.0,0.0008
315,0.0245,0.0083,0.0244,0.0,0.0,0.414,0.0377,0.0097
142,0.0055,0.0012,0.0028,0.0,0.0,0.5043,0.0,0.0
320,0.3931,0.3005,0.0067,0.0,0.0,0.0495,0.2353,0.2925
321,0.0234,0.0116,0.007,0.0,0.0,0.1254,0.0,0.0
1088,0.0347,0.0194,0.0019,0.0,0.0,0.228,0.0453,0.0113
66,0.0381,0.0236,0.007,0.0,0.0,0.2039,0.0,0.0
913,0.0064,0.003,0.0002,0.0,0.0,0.1812,0.0,0.0
1631,0.0,0.0078,0.0001,0.0,0.0,0.2977,0.0,0.0
945,0.0009,0.0083,0.0001,0.0,0.0,0.2611,0.0,0.0
1630,0.0,0.0065,0.0001,0.0,0.0,0.3645,0.0,0.0
1629,0.0,0.0068,0.0,0.0,0.0,0.401,0.0,0.0
12,0.3206,0.1123,0.0074,0.0,0.0,0.0468,0.0771,0.0
1085,0.4517,0.1795,0.0085,0.0,0.0,0.1416,1.0,0.1264
690,0.0052,0.0011,0.0,0.0,0.0,0.4102,0.0,0.0
691,0.0579,0.0203,0.0016,0.0,0.0,0.1026,0.0428,0.0189
908,0.0123,0.0081,0.0002,0.0,0.0,0.1858,0.0,0.0
668,0.0106,0.0037,0.0001,0.0,0.0,0.4224,0.0,0.0
112,0.0743,0.0222,0.0016,0.0,0.0,0.1135,0.0,0.1077
111,0.0852,0.0273,0.0027,0.0,0.0,0.0848,0.0,0.0756
206,1.0,0.3536,0.0044,0.0,0.0,0.0343,0.0,0.2754
408,0.1073,0.0902,0.0085,0.0,0.0,0.0803,0.2118,0.164
963,0.0122,0.0028,0.0012,0.0,0.0,0.3913,0.0938,0.0001
172,0.0,0.0,0.0005,0.0,0.0,0.5022,0.0,0.0
404,0.0,0.0,0.0,0.0,0.0,0.5282,0.0304,0.0008
666,0.0042,0.0032,0.0002,0.0,0.0,0.5116,0.0,0.0
559,0.0003,0.0009,0.0003,0.0,0.0,0.5516,0.0,0.0
558,0.0153,0.0068,0.0003,0.0,0.0,0.2645,0.0118,0.0011
664,0.0153,0.0068,0.0003,0.0,0.0,0.2645,0.0118,0.0011
665,0.0129,0.0049,0.0004,0.0,0.0,0.3162,0.0,0.0
80,0.0129,0.0049,0.0004,0.0,0.0,0.3162,0.0,0.0
760,0.0114,0.0058,0.0048,0.0,0.0,0.5008,0.0,0.0
1619,0.0172,0.0074,0.0004,0.0,0.0,0.316,0.0,0.0
1624,0.0061,0.0053,0.0001,0.0,0.0,0.2848,0.0,0.0
