SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
854.0,2.0,27.04,10.0,90.0,40.0,80.24,1.0,1.04
856.0,2.0,31.21,10.0,140.0,90.0,70.6,1.0,1.0
852.0,2.0,33.29,10.0,3.0,3.0,74.36,1.248,1.164
855.0,2.0,29.96,10.0,3.0,3.0,83.82,1.248,1.164
1169.0,16.104,32.876,10.0,218.0,134.6,53.9,1.0,1.0
1130.0,9.2,56.82,92.8,24196.0,15531.0,76.0,1.0,1.0
568.0,2.0,10.0,13.2,288.0,52.0,72.8,1.0,1.0
567.0,2.0,10.0,15.2,3.0,3.0,105.3,1.248,1.206
569.0,2.0,10.0,35.4,3.0,3.0,105.02,1.248,1.206
481.0,2.0,15.34,62.2,1019.0,364.0,74.28,1.0,1.0
473.0,11.8,39.46,15.5,504.0,3.0,79.92,1.0,1.0
732.0,2.0,51.77,11.0,379.0,41.0,85.52,1.0,1.0
477.0,19.2,56.97,27.7,1870.0,200.0,82.46,1.0,1.0
736.0,12.9,37.92,13.3,2046.0,10.0,95.36,1.0,1.0
478.0,16.4,66.13,49.5,4710.0,310.0,97.44,1.0,1.0
480.0,14.3,63.64,30.3,213.0,20.0,50.26,1.0,1.0
479.0,2.0,19.6,14.8,1296.0,10.0,73.1,1.0,1.0
476.0,2.0,33.74,17.4,1396.0,3.0,82.46,1.0,1.0
731.0,11.5,37.67,41.3,1616.0,3.0,98.62,1.0,1.0
471.0,2.0,10.0,32.3,708.0,10.0,72.7,1.0,1.0
735.0,11.7,45.18,18.2,1100.0,100.0,56.05,1.0,1.0
474.0,12.1,51.51,68.5,980.0,200.0,66.22,1.0,1.0
734.0,2.0,11.93,57.5,4960.0,100.0,88.12,1.0,1.0
475.0,2.0,45.18,37.1,3873.0,3.0,70.08,1.0,1.0
730.0,13.1,33.56,76.4,860.0,200.0,66.46,1.0,1.0
733.0,5.0,10.0,61.3,776.0,189.0,70.2,1.0,1.0
472.0,2.0,10.0,24.3,146.0,86.0,77.08,1.0,1.0
505.0,2.0,10.0,10.0,10.0,3.0,104.22,1.248,1.29
507.0,2.0,10.0,10.0,211.0,146.0,72.64,1.0,1.0
506.0,2.0,10.0,10.0,3.0,3.0,105.3,1.248,1.206
812.0,15.4,21.84,11.2,85.0,41.0,73.44,1.0,1.0
813.0,2.0,10.0,10.0,262.0,41.0,59.66,1.0,1.0
814.0,2.0,10.0,10.0,336.0,3.0,87.38,1.0,1.0
425.0,2.0,10.0,10.0,31.0,20.0,97.52,1.0,1.084
644.0,2.0,10.0,10.0,185.0,161.0,79.62,1.0,1.0
241.0,10.1,126.64,38.3,19863.0,633.0,95.8,1.0,1.0
468.0,17.9,102.28,51.8,24196.0,142.0,92.0,1.0,1.0
470.0,7.1,81.69,86.6,8840.0,200.0,77.6,1.0,1.0
469.0,78.6,105.62,33.0,4106.0,3.0,53.54,1.0,1.0
825.0,2.0,10.0,10.0,1872.0,63.0,85.88,1.0,1.0
824.0,9.52,12.72,17.6,3654.0,1137.0,80.66,1.0,1.0
823.0,2.0,10.0,11.2,1259.0,52.0,73.1,1.0,1.0
439.0,2.0,10.0,10.0,97.0,52.0,82.04,1.0,1.04
243.0,4.92,105.44,30.7,24196.0,185.0,92.0,1.0,1.0
440.0,2.0,10.0,10.0,246.0,109.0,61.16,1.0,1.0
441.0,4.02,14.21,10.0,393.0,121.0,78.8,1.0,1.0
242.0,7.82,69.13,36.6,3873.0,62.0,84.02,1.0,1.0
517.0,2.0,10.184,19.3,3873.0,382.2,96.36,1.0,1.0
519.0,9.366,17.954,40.2,63.0,27.4,74.74,1.0,1.0
728.0,5.43,30.755,14.35,196.5,3.0,71.94,1.0,1.0
827.0,9.4,24.24,20.3,20.0,3.0,71.94,1.0,1.084
826.0,10.9,12.54,11.2,10.0,3.0,98.38,1.248,1.164
352.0,2.432,18.474,10.0,2495.0,460.0,102.62,1.0,1.0
931.0,7.2,10.0,10.0,218.0,3.0,66.16,1.0,1.0
932.0,2.0,10.0,10.0,384.0,20.0,85.52,1.0,1.0
935.0,2.0,10.0,10.0,529.0,3.0,79.92,1.0,1.0
933.0,2.0,10.0,10.0,189.0,10.0,81.74,1.0,1.0
934.0,2.0,72.03,10.0,1430.0,10.0,85.74,1.0,1.0
936.0,2.0,10.0,14.6,110.0,3.0,68.24,1.0,1.04
937.0,2.0,10.97,10.0,520.0,3.0,79.92,1.0,1.0
1448.0,2.266,44.044,34.4,393.0,186.0,75.86,1.0,1.0
1447.0,9.768,19.664,10.2,520.0,123.4,75.48,1.0,1.0
269.0,2.7,16.712,20.6,1664.0,309.0,102.48,1.0,1.0
1446.0,25.536,54.788,17.8,2382.0,1367.0,56.96,1.0,1.0
502.0,3.58,10.0,10.0,2354.0,253.0,67.76,1.0,1.0
434.0,5.26,17.986,20.9,6488.0,246.6,108.04,1.0,1.0
