DBO_mg/L,DQO_mg/L
4.974,26.41
5.16,18.844
2.9,19.66
5.896,13.064
2.604,17.018
7.13,20.186
4.58,41.0
14.276,68.0
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
14.342,37.734
25.398,49.32
8.642,21.486
11.148,29.2
7.552,23.048
35.324,48.434
4.672,19.772
9.828,29.202
224.4,435.49
5.106,19.242
35.2,35.2
2.46,10.0
2.8,10.0
5.053,19.07
26.3497,85.4603
26.3497,85.4603
4.564,12.38
26.3497,85.4603
7.8,40.92
4.4,17.64
8.987,20.124
47.04,59.02
323.33,441.38
494.0,639.15
420.0,553.32
10.355,30.0
7.01,17.97
2.0,10.0
18.74,44.986
2.0,27.63
2.0,34.53
2.0,20.72
2.0,20.72
2.0,20.72
2.0,27.63
2.0,20.72
2.0,27.63
2.0,34.53
2.0,18.226
2.0,17.418
909.91,1622.54
24.654,43.558
24.634,32.324
24.654,43.558
26.776,47.528
2.0,18.226
16.596,31.224
2.333,10.0
4.26,10.0
8.14,12.206
36.615,96.28
120.5,164.755
21.4,75.64
26.65,102.1
2.0,89.88
2.0,10.0
2.0,14.98
99.835,222.08
2.0,32.8915
10.535,104.525
7.23,76.355
3.74,10.0
5.1,144.0
4.23,10.0
6.27,75.54
7.445,29.24
4.93,37.77
7.95,64.8
10.32,38.585
2.78,24.425
2.75,10.0
3.23,18.79
7.51,38.21
4.655,11.845
88.7,143.345
5.72,30.595
5.36,23.45
6.02,23.925
7.94,24.64
5.42,20.355
5.06,29.405
8.99,22.2
2.0,10.0
10.002,29.432
2.03,10.0
2.0,10.0
4.53,22.47
9.19,22.2
19.5,52.53
10.43,44.94
4.93,74.9
19.7,83.7
2.0,10.0
2.0,91.31
2.0,53.26
7.0,30.44
2.0,22.83
5.18,91.31
89.0,167.4
7.067,104.9
74.0,104.86
2.0,10.0
2.0,29.96
2.0,22.47
23.0,89.88
2.0,22.83
50.6,89.99
2.0,68.48
2.0,22.83
2.0,15.22
19.1,60.87
16.8,60.87
19.4,60.87
11.28,20.3
10.32,22.66
6.12,19.52
12.54,23.32
27.9,37.44
29.28,37.92
30.72,34.56
28.14,31.68
13.77,23.04
12.09,23.52
14.34,29.76
12.57,23.04
11.73,22.85
12.51,19.52
10.62,21.9
14.76,20.01
16.29,22.45
19.92,26.35
15.21,27.61
22.32,29.51
54.12,73.2
20.7,28.79
11.52,20.3
10.2,21.71
16.2,25.02
15.84,23.13
16.65,25.49
11.46,22.18
49.8,55.22
13.146,30.762
27.684,58.15
36.92,70.964
27.684,58.15
12.534,23.086
10.336,19.408
7.8,40.914
29.53,45.954
29.46,49.95
12.75,19.36
23.58,37.58
51.0,62.46
60.48,75.64
10.05,18.18
19.08,25.7
11.4,20.33
13.83,26.62
9.84,19.36
15.06,24.54
20.04,29.26
12.39,18.41
9.72,17.94
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.19,10.0
7.8,76.42
2.058,34.292
2.266,42.822
7.714,55.544
2.058,34.292
6.428,18.022
13.708,26.59
4.144,10.0
4.144,10.0
2.72,10.0
4.04,17.522
4.8,15.368
3.17,16.1
4.95,361.76
10.988,18.26
350.0,859.37
20.262,30.058
10.0,68.29
6.32,14.21
2.4,71.63
10.326,22.678
2.0,33.29
20.148,30.488
13.2,63.794
4.718,19.242
640.0,1181.6
20.262,30.058
2.0,30.626
31.672,39.404
2.0,31.792
8.2,55.208
2.0,25.35
24.918,34.626
14.67,75.79
20.262,30.058
4.718,19.242
2.458,24.318
7.802,37.254
2.0,10.0
2.0,19.54
2.0,10.0
17.0,27.88
2.0,10.0
4.67,59.96
4.906,19.242
2.29,10.0
26.3497,85.4603
26.3497,85.4603
5.2,10.0
8.51,16.858
20.542,40.688
17.238,43.442
31.672,39.404
37.032,45.202
47.744,68.986
2.43,58.33
2.85,34.0
24.39,33.882
39.592,59.818
19.582,46.504
31.11,48.164
37.624,57.294
31.11,48.164
15.906,38.456
20.542,40.688
20.562,39.862
20.542,40.688
15.906,38.456
12.826,23.498
20.562,39.862
15.906,38.456
15.906,38.456
15.906,38.456
15.906,38.456
2.0,16.41
17.228,30.078
38.736,53.346
24.346,48.2
23.77,44.626
4.25,84.83
2.0,80.79
2.0,65.07
2.0,82.07
2.0,69.85
3.08,50.65
2.0,28.1
4.16,71.93
15.906,38.456
2.0,13.67
2.0,10.0
2.745,20.15
3.92,34.0
3.69,45.57
27.404,36.38
38.04,65.46
17.79,33.692
26.772,46.284
15.906,38.456
21.45,43.766
20.562,39.862
37.418,61.242
23.77,44.626
38.626,50.582
23.77,44.626
20.262,30.058
23.592,33.564
25.184,35.208
15.906,38.456
25.184,35.208
20.262,30.058
15.906,38.456
15.906,38.456
10.452,19.614
18.27,28.248
31.11,48.164
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
15.4,70.712
4.8,10.0
20.74,44.82
3.08,12.376
20.74,44.82
64.6,171.894
29.324,48.374
2.0,13.5
17.65,156.14
6.85,21.905
8.53,14.71
70.072,189.102
8.2,24.262
18.766,72.736
17.4,25.79
11.4,27.46
3.7,24.96
12.2,14.21
2.0,28.98
2.0,43.13
2.0,29.81
2.0,17.39
2.0,23.18
2.0,24.01
2.0,18.22
2.0,29.81
2.0,22.36
2.0,21.53
2.0,31.0
2.0,28.98
2.0,10.76
2.0,26.5
2.0,21.53
2.0,10.0
2.0,22.36
4.02,11.65
28.078,80.367
2.0,20.8
12.0,14.98
9.8,19.97
7.354,13.566
2.0,18.494
4.9,10.0
5.0,10.0
2.0,24.13
2.0,31.08
2.0,56.38
2.0,24.84
2.0,14.9
2.0,15.81
2.0,44.51
2.0,31.85
2.0,24.01
2.0,21.53
2.0,26.5
2.0,33.74
2.0,15.73
2.0,11.08
22.18,30.848
6.54,10.0
18.1,38.95
4.38,46.31
19.6,49.03
21.4,48.69
4.05,10.0
6.55,10.0
6.71,10.0
2.0,12.536
16.9,88.62
4.7,10.0
2.0,28.98
2.0,10.0
2.0,19.87
2.0,16.56
3.24,15.73
12.129,24.265
33.902,62.918
9.868,19.614
10.452,19.614
2.0,16.202
2.458,24.318
4.2,66.46
20.148,30.488
20.148,30.488
6.4,10.0
2.0,10.0
2.0,10.0
2.0,10.0
4.04,10.0
2.0,36.56
16.5,142.0
3.249,11.271
20.134,99.878
6.01,34.904
2.4,16.0
3.38,17.412
6.36,16.434
136.35,1410.0
4.718,19.242
3.249,11.271
5.106,19.242
2.0,23.0
2.9,38.0
2.0,18.0
2.0,11.7
11.97,44.0
25.9,94.0
17.9,44.0
9.12,98.0
14.76,94.0
9.8,91.0
16.1,122.5
9.965,62.0
11.58,88.0
17.1,140.5
2.0,24.0
2.0,15.068
2.01,11.802
14.492,22.75
13.088,25.18
2.0,41.77
2.0,10.0
2.0,10.0
2.76,10.0
3.84,12.6
6.4,35.95
17.5,21.84
5.2,49.54
2.0,24.36
5.44,10.0
13.088,25.18
27.404,36.38
4.606,14.568
2.0,10.0
2.0,10.0
6.54,10.92
4.34,10.0
4.94,10.0
11.5,13.44
4.92,10.92
4.54,10.08
5.2,10.0
2.266,41.164
14.1,16.64
14.6,37.85
19.5,24.13
16.2,22.46
29.914,45.954
5.5,21.226
2.944,24.93
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
2.0,22.46
2.0,10.0
2.0,10.0
2.0,10.0
27.16,74.528
7.532,30.734
3.04,16.816
4.096,10.688
2.0,29.218
2.0,10.184
7.88,31.67
26.494,56.872
2.0,15.894
2.0,15.894
2.0,10.0
4.1,10.0
2.0,10.0
2.0,11.65
18.334,36.6
10.0,20.9
2.0,17.56
26.3497,85.4603
4.718,19.242
4.718,19.242
4.718,19.242
5.106,19.242
4.718,19.242
4.718,19.242
4.718,19.242
9.868,19.614
16.186,29.718
3.356,10.0
10.326,22.678
2.0,38.21
4.8,15.368
2.0,29.66
3.1,35.92
3.4,30.67
3.03,22.22
4.52,62.72
40.536,54.52
2.61,40.34
2.0,35.85
6.33,19.41
6.48,37.47
5.73,10.0
26.3497,85.4603
26.3497,85.4603
26.3497,85.4603
5.106,19.242
2.53,35.66
21.878,62.997
12.919,28.922
3.187,11.239
3.187,11.239
2.0,21.21
2.0,15.894
6.501,27.167
3.24,16.77
9.1,38.61
12.74,29.534
7.017,25.979
7.653,20.739
2.0,76.21
2.0,13.44
2.0,72.03
2.0,10.0
2.0,10.0
2.0,10.0
2.0,10.0
