DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
2.0,26.16,16.1,2481.0,41.0,152.2,1.0,1.0
7.8,19.14,36.5,9804.0,80916.26902648172,53.0,1.0,1.0
13.3,31.44,60.0,-1016121.5992976464,24196.0,56.4,1.0,1.0
8.2,12.48,72.2,24196.0,15531.0,48.2,0.9604236056834626,0.610098600619184
8.2,25.513400421455188,274.66023591061895,2755.0,422.0,60.1,0.9757337679036712,1.0
8.1,16.64,76.1,24196.0,3873.0,27.2,1.0,1.0
12.4,28.42,183.4,7030.0,1990.0,43.5,0.9641852217163589,1.0
66.0,88.44,21.4,5475.0,683.0,46.0,1.0,1.0
1.596611139396913,27.59,778.6,141360.0,111990.0,94.0,1.0,1.0
2.0,10.0,10.0,-735431.890769097,292.0,83.3,1.0,1.0
2.0,22.88,860.6,24000.0,210.0,71.3746219695908,1.0,1.0
2.0,17.88,1125.3,24000.0,750.0,51.1,1.0,1.0
2.0,28.71,300.66220078105533,24000.0,90.0,54.6,1.0,1.0
2.0,43.71,790.6,24000.0,24000.0,51.8,1.0,1.0
2.0,29.54,380.0,4600.0,1500.0,54.4,0.950288324826563,1.0
2.0,32.88,396.3,11000.0,2400.0,54.8,1.0,1.0
2.0,24.96,438.1,24000.0,11000.0,71.47506415079103,1.0,1.0
2.0,38.29,372.7,11000.0,4600.0,56.0,1.0,1.0
2.0,28.29,346.8,24000.0,24000.0,55.0,1.0,1.0
2.0,23.71,1262.0,24000.0,24000.0,62.8,1.0,1.0
2.0,39.13,1325.0,24000.0,430.0,53.8,0.9491568791472189,1.0
2.0,77.46,2540.0,24000.0,24000.0,68.7,1.0,1.0
17.36632323223681,39.13,248.04259983264373,24000.0,24000.0,68.50981574384458,1.0,1.0
2.0,40.38,482.8,24000.0,24000.0,51.6,1.0,1.0
2.0,38.71,2618.4,24000.0,24000.0,55.4,1.0,1.0
2.0,43.29,246.57843431922765,24000.0,24000.0,71.2,0.9769646942908677,2.129036943791326
2.0,52.04,178.0,24000.0,24000.0,79.4,1.0,1.0
2.0,15.79,22.0,24000.0,24000.0,81.3,1.0,1.0
2.0,13.71,30.0,24000.0,24000.0,79.7,1.0,1.0
2.14,13.29,386.7,24000.0,24000.0,81.3,1.0,0.6575892944044112
2.29,45.38,26.0,230.0,90.0,47.6,1.0,1.0
2.57,48.71,359.82824862579935,2400.0,430.0,39.9,1.0,1.0
38.78295432316641,45.79,412.0,11000.0,4600.0,30.4,1.0224860490130936,1.0
2.0,13.71,710.0,24000.0,930.0,30.9,1.0,1.0
2.0,18.29,765.5,-2360377.596113218,4600.0,53.7,1.0,1.7208922654124938
2.0,16.63,506.1,11000.0,2400.0,57.4,1.0,1.0
2.0,25.17415539095399,279.9601942102738,11000.0,4600.0,58.3,1.0,1.374146744074706
20.662634406045242,36.63,2312.5,24000.0,24000.0,57.2,1.0,1.0
2.0,31.21,48.0,24000.0,24000.0,68.1,1.0,1.0
2.0,40.38,53.0,24000.0,24000.0,70.3,1.0,1.0
237.75,303.32,136.0,22877548.28004507,996099.6697997415,30.5,1.0,1.0
19.56,40.94,12.0,2400.0,460.0,44.3,1.0,1.0
12.72,17.14,26.0,460.0,460.0,69.51220073144879,1.0,1.0
