SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
1633.0,,,18.0,150.0,,,,
599.0,,,21.0,2400.0,,,,
600.0,,,28.0,15.0,,,,
920.0,29.46,49.95,18.0,93.0,93.0,,,
77.0,12.75,19.36,24.0,240.0,93.0,,,
348.0,23.58,37.58,32.0,1100.0,1100.0,,,
1222.0,51.0,62.46,,460.0,23.0,94.7,1.0,1.0
1714.0,60.48,75.64,16.0,75.0,75.0,,,
919.0,10.05,18.18,12.0,43.0,15.0,,,
1580.0,19.08,25.7,122.0,,1100.0,90.5,1.0,1.0
739.0,11.4,20.33,12.0,23.0,4.0,,,
740.0,13.83,26.62,12.0,93.0,43.0,,,
741.0,9.84,19.36,12.0,150.0,20.0,,,
638.0,15.06,24.54,10.0,75.0,75.0,,,
639.0,20.04,29.26,10.0,93.0,21.0,,,
640.0,12.39,18.41,10.0,15.0,9.0,,,
641.0,9.72,17.94,10.0,23.0,23.0,,,
1038.0,2.0,10.0,,90.0,,,,
1039.0,2.0,10.0,,390.0,,,,
1037.0,2.0,10.0,,210.0,,,,
786.0,2.0,10.0,,240.0,,,,
418.0,2.19,10.0,,15.75,,,,
742.0,7.8,76.42,,640.0,,,,
621.0,,,,230.0,,,,
228.0,,,,430.0,,,,
671.0,,,,930.0,,,,
1700.0,,,,230.0,,,,
1704.0,,,,6550.0,,,,
402.0,,,,90.0,,,,
84.0,,10.0,,430.0,,,,
1009.0,,10.0,,430.0,,,,
750.0,,10.0,,,,,,
621.0,,,,160.0,,,,
228.0,,,,80.0,,,,
,3.17,16.1,,669.0,,,,
1689.0,4.95,361.76,,,,,,
1704.0,,,,4.0,,,,
177.0,350.0,859.37,395.5,24000.0,24000.0,,1.0,11.76
257.0,,,28.0,3.0,,,,
670.0,10.0,68.29,54.0,230.0,90.0,,,
208.0,6.32,14.21,13.9,1376.0,183.0,,,
578.0,2.4,71.63,36.0,280.0,210.0,,,
265.0,,,23.0,150.0,,,,
1626.0,2.0,33.29,26.0,750.0,430.0,,,
1627.0,,,24.0,3.0,,,,
138.0,,,19.0,24000.0,,,,
766.0,,,10.0,3.0,,,,
333.0,640.0,1181.6,210.8,24000.0,24000.0,,1.79,24.39
768.0,,,31.0,3.0,,,,
140.0,,,10.0,230.0,,,,
309.0,,,48.0,3.0,,,,
1684.0,,,13.0,230.0,,,,
586.0,,,48.0,24000.0,,,,
261.0,,,14.0,930.0,,,,
770.0,,,35.0,3.0,,,,
588.0,14.67,75.79,160.0,24000.0,24000.0,,,
167.0,,,28.0,3.0,,,,
596.0,,,12.0,3.0,,,,
577.0,,,25.8,727.0,,,,
141.0,,,21.0,230.0,,,,
1213.0,2.0,10.0,65.2,5475.0,691.0,61.1,,1.0
1661.0,2.0,19.54,10.0,90.0,3.0,,,
879.0,2.0,10.0,11.6,959.0,3.0,,,
532.0,17.0,27.88,12.0,3.0,3.0,,,
214.0,2.0,10.0,10.0,110.0,3.0,,,
611.0,4.67,59.96,32.4,24000.0,24000.0,,,
764.0,,,,3.0,,,,
1588.0,2.29,10.0,10.0,15.0,,,,
762.0,,,,,,,,
763.0,,,,,,,,
1576.0,5.2,10.0,51.0,,,83.0,1.0,1.0
574.0,,,50.0,150.0,,,,
595.0,,,282.0,23.0,,,,
1236.0,,,2100.0,200.0,,,,
591.0,,,49.0,3.0,,,,
593.0,,,41.0,23.0,,,,
592.0,,,27.0,23.0,,,,
543.0,2.43,58.33,10.0,2400.0,2400.0,,,
576.0,2.85,34.0,21.0,200.0,2400.0,,,
575.0,,,34.0,460.0,,,,
1389.0,,,75.0,2400.0,,,,
1388.0,,,36.0,2400.0,,,,
192.0,,,58.0,2400.0,,,,
1666.0,,,64.0,2400.0,,,,
706.0,,,57.0,2400.0,,,,
372.0,,,214.0,19.0,,,,
761.0,,,323.0,18.5,,,,
672.0,,,110.0,23.0,,,,
364.0,,,290.0,43.0,,,,
374.0,,,188.0,3.0,,,,
1183.0,,,58.0,93.0,,,,
560.0,,,138.0,23.0,,,,
369.0,,,212.0,23.0,,,,
135.0,,,214.0,4.0,,,,
375.0,,,200.0,3.0,,,,
1504.0,,,204.0,23.0,,,,
922.0,2.0,16.41,10.0,2400.0,2400.0,,,
1664.0,,,896.0,3.0,,,,
429.0,,,37.0,20.0,,,,
759.0,,,606.0,3.0,,,,
368.0,,,466.0,23.0,,,,
881.0,4.25,84.83,23.0,93.0,28.0,,,
952.0,2.0,80.79,10.0,15.0,15.0,,,
953.0,2.0,65.07,35.0,2400.0,2400.0,,,
1614.0,2.0,82.07,31.0,2400.0,2400.0,,,
951.0,2.0,69.85,31.0,93.0,43.0,,,
954.0,3.08,50.65,15.0,2400.0,2400.0,,,
955.0,2.0,28.1,10.0,2400.0,1100.0,,,
956.0,4.16,71.93,27.0,2400.0,2400.0,,,
366.0,,,244.0,4.0,,,,
587.0,2.0,13.67,82.0,2400.0,1100.0,,,
601.0,2.0,10.0,30.0,2400.0,2400.0,,,
171.0,2.745,20.15,15.5,1235.0,2400.0,,,
544.0,3.92,34.0,34.0,70.0,,,,
545.0,3.69,45.57,18.0,2400.0,2400.0,,,
303.0,,,54.0,23.0,,,,
1390.0,,,13.0,2400.0,,,1.0,1.0
239.0,,,124.0,1100.0,,,,
509.0,,,112.0,240.0,,,,
510.0,,,212.0,23.0,,,,
83.0,,,166.0,43.0,,,,
1246.0,,,140.0,21.0,,,,
1201.0,,,220.0,93.0,,,,
370.0,,,324.0,150.0,,,,
164.0,,,120.0,150.0,,,,
365.0,,,368.0,43.0,,,,
564.0,,,31.0,3.0,,,,
376.0,,,206.0,460.0,,,,
367.0,,,74.0,3.0,,,,
139.0,,,204.0,4.0,,,,
373.0,,,108.0,3.0,,,,
589.0,,,29.0,3.0,,,,
163.0,,,182.0,3.0,,,,
371.0,,,206.0,4.0,,,,
594.0,,,22.0,3.0,,,,
590.0,,,32.0,3.0,,,,
191.0,,,58.0,2400.0,,,,
525.0,,,,,,,,
526.0,,,,,,,,
527.0,,,,,,,,
