SITIO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
1306.0,7.84,10.18,65.5,6867.0,1250.0,83.1,1.0,1.0
1349.0,8.0,12.72,38.3,15531.0,512.0,97.7,1.0,1.0
1101.0,8.6,55.62,74.3,24196.0,15531.0,50.5,1.0,1.0
825.0,2.0,10.0,10.0,1872.0,63.0,,,
824.0,9.52,12.72,17.6,3654.0,1137.0,,,
823.0,2.0,10.0,11.2,1259.0,52.0,,,
439.0,2.0,10.0,10.0,97.0,52.0,,,
243.0,4.92,105.44,30.7,24196.0,185.0,,,
440.0,2.0,10.0,10.0,246.0,109.0,,,
441.0,4.02,14.21,10.0,393.0,121.0,,,
242.0,7.82,69.13,36.6,3873.0,62.0,,,
517.0,,,19.3,3873.0,,,,
519.0,,,40.2,63.0,,,,
1122.0,2.0,10.0,46.8,1523.0,216.0,103.0,1.0,1.0
1124.0,2.0,10.0,37.4,1650.0,160.0,113.4,1.0,1.0
728.0,5.43,30.755,14.35,196.5,3.0,,,
827.0,9.4,24.24,20.3,20.0,3.0,,,
826.0,10.9,12.54,11.2,10.0,3.0,,,
1100.0,2.0,10.0,16.9,24196.0,131.0,73.6,1.0,1.0
352.0,,,10.0,2495.0,,,,
1273.0,2.0,10.0,10.0,9884.0,119.0,72.0,1.0,1.0
1272.0,2.0,10.0,28.6,24196.0,278.0,53.8,1.0,1.0
931.0,7.2,10.0,10.0,218.0,3.0,,,
932.0,2.0,10.0,10.0,384.0,20.0,,,
935.0,2.0,10.0,10.0,529.0,3.0,,,
933.0,2.0,10.0,10.0,189.0,10.0,,,
934.0,2.0,72.03,10.0,1430.0,10.0,,,
936.0,2.0,10.0,14.6,110.0,3.0,,,
937.0,2.0,10.97,10.0,520.0,3.0,,,
316.0,2.0,10.0,50.9,4352.0,489.0,100.9,1.0,1.0
1451.0,4.16,36.21,17.2,2489.0,62.0,101.0,1.0,1.0
275.0,2.0,10.0,46.9,3654.0,41.0,106.1,1.0,1.0
1453.0,2.0,10.0,35.7,1236.0,31.0,107.4,1.0,1.0
