DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
45.79,1.0,2400.0,1.0
35.79,1.0,1500.0,1.0
78.29,1.0,24000.0,1.0
94.54,1.0,1500.0,1.0
62.46,1.0,1500.0,1.0
83.71,1.0,2100.0,1.0
165.09,1.0,2400.0,1.0
114.96,1.0,24000.0,1.0
128.71,1.0,24000.0,1.0
85.79,1.0,2100.0,1.0
601.86,2.47,11000.0,1.0
890.8,19.61,24000.0,1.76
186.345,1.0,24000.0,1.0
405.08,11.9,24000.0,1.08
96.63,1.0,24000.0,1.0
796.51,12.5,24000.0,1.0
696.51,23.26,24000.0,1.0
166.39,1.0,24000.0,1.0
100.38,1.0,24000.0,1.0
190.8,1.46,24000.0,1.0
93.71,1.0,24000.0,1.0
377.94,1.0,24000.0,1.0
196.51,1.13,930.0,1.0
165.09,1.0,1500.0,1.0
101.21,1.0,24000.0,1.0
73.29,1.0,2400.0,1.0
265.08,6.37,24000.0,1.0
34.13,1.0,24000.0,1.0
725.09,11.9,230.0,1.0
5200.0,15.63,2419600.0,1.92
7900.0,2.1,241960.0,1.0
360.0,6.41,32550.0,1.0
10.0,1.0,3.0,1.0
10.0,1.0,455.0,1.0
24.96,1.0,3.0,1.0
130.46,1.0,4.0,1.0
53.79,1.0,23.0,1.0
38.56,1.0,4.0,1.0
36.65,1.0,7.0,1.0
142.52,1.0,4.0,1.0
36.65,1.0,20.0,1.0
38.56,1.0,43.0,1.0
10.0,1.0,2400.0,1.0
16.66,1.0,1100.0,1.0
37.04,1.0,24000.0,1.0
10.0,1.0,2400.0,1.0
19.96,1.0,210.0,1.0
10.0,1.0,2400.0,1.0
22.04,1.0,930.0,1.0
10.0,1.0,2400.0,1.0
21.21,1.0,430.0,1.0
10.0,1.0,2400.0,1.0
29.13,1.0,430.0,1.0
27.88,1.0,750.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,32550.0,1.0
18.3,1.0,24196.0,1.0
10.0,1.0,12033.0,1.0
10.0,1.0,209.0,1.0
10.0,1.0,933.0,1.0
10.0,1.0,249.0,1.0
10.0,1.0,2595.0,1.0
11.7,1.0,393.0,1.0
10.0,1.0,281.0,1.0
12.54,1.0,1145.0,1.0
14.28,1.0,168.0,1.0
13.31,1.25,84.0,1.0
12.48,1.0,2098.0,1.0
21.63,1.0,420.0,1.0
38.95,1.0,122.0,1.0
36.38,1.0,181.0,1.0
24.96,1.0,210.0,1.0
25.92,1.0,23.0,1.0
21.6,1.0,240.0,1.0
28.8,1.0,23.0,1.0
23.52,1.0,240.0,1.0
26.4,1.0,240.0,1.0
33.4,1.0,240.0,1.0
49.85,1.0,93.0,1.0
26.88,1.0,1100.0,1.0
24.0,1.0,75.0,1.0
40.8,1.0,1100.0,1.0
21.12,1.0,75.0,1.0
45.6,1.0,240.0,1.0
26.4,1.0,93.0,1.0
10.0,1.0,226.0,1.0
10.0,1.0,86.0,1.0
23.52,1.0,210.0,1.0
47.59,1.0,36540.0,1.0
10.0,1.0,644.0,1.0
10.0,1.0,24196.0,1.0
10.0,1.0,189.0,1.0
10.0,1.0,203.0,1.0
10.0,1.0,323.0,1.0
10.0,1.0,450.0,1.0
10.0,1.0,867.0,1.0
15.12,1.0,441.0,1.0
10.0,1.0,457.0,1.0
10.0,1.0,388.0,1.0
10.0,1.0,548.0,1.0
10.0,1.0,41.0,1.0
10.0,1.0,52.0,1.0
12.6,1.0,712.0,1.0
10.0,1.0,408.0,1.0
10.0,1.0,51.0,1.0
13.18,1.0,3.0,1.0
19.78,1.0,73.0,1.0
11.54,1.0,41.0,1.0
14.01,1.0,20.0,1.0
14.83,1.0,81.0,1.0
10.0,1.0,73.0,1.0
10.0,1.0,31.0,1.0
16.48,1.0,10.0,1.0
10.0,1.0,3.0,1.0
27.19,1.0,223.0,1.0
23.07,3.3,1414.0,1.0
10.0,1.0,63.0,1.0
11.54,1.0,109.0,1.0
86.21,1.0,2100.0,1.0
182.23,3.72,24000.0,1.0
179.37,1.0,24000.0,1.0
350.8,4.24,24000.0,3.03
213.66,10.87,24000.0,1.0
165.09,1.0,24000.0,1.0
44.96,1.0,24000.0,1.0
530.8,17.24,11000.0,1.52
33.71,1.0,24000.0,1.0
82.46,1.0,2400.0,1.0
45.79,1.0,1500.0,1.0
270.8,1.62,930.0,1.0
99.13,1.0,24000.0,1.0
35.79,1.0,2100.0,1.0
33.71,1.0,11000.0,1.0
190.8,1.41,24000.0,1.0
125.79,1.0,24000.0,1.0
118.71,1.0,24000.0,1.0
64.13,1.0,24000.0,1.0
